,점수,일시,감상평
4380,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
4381,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
4382,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
4383,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4384,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
4385,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
4386,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
4387,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
4388,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
4389,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
4390,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
4391,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
4392,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
4393,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4394,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
4395,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
4396,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
4397,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
4398,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
4399,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
4400,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
4401,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
4402,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
4403,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4404,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
4405,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
4406,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
4407,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
4408,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
4409,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
4410,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
4411,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
4412,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
4413,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
4414,10,2019.12.31 19:58,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.
4415,10,2019.12.31 09:29,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다
4416,10,2019.12.31 09:52,안보면후회함 백두산보다낫다
4417,10,2019.12.31 09:01,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들
4418,10,2019.12.31 16:37,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯
4419,8,2019.12.31 10:14,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로...
4420,9,2019.12.31 09:48,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추
4421,10,2019.12.31 10:41,저 해전이 있었기에 우리나라 광복도 가능 했음
4422,10,2019.12.31 09:38,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라
4423,10,2019.12.31 09:14,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.
